"id","size","incl.prob","staff","total.rev","total.costs","profit","turnover","staff.costs","other.rev","vat"
"RET01","sc0",0.02,75,1130,18915,20045,NA,NA,NA,NA
"RET02","sc3",0.14,9,1607,1544,63,1607,131,NA,NA
"RET03","sc3",0.14,NA,6919,6493,426,6886,324,-33,NA
"RET04","sc3",0.14,NA,3874,3600,274,3861,290,13,NA
"RET05","sc3",0.14,NA,5602,5530,72,NA,314,37,NA
"RET06","sc0",0.02,1,25,22,3,25,NA,NA,NA
"RET07","sc3",0.14,5,1335,136,1,NA,135,NA,1346
"RET08","sc1",0.02,3,417,342,75,404,NA,13,NA
"RET09","sc3",0.14,6,2596,2486,110,2596,147,NA,NA
"RET10","sc2",0.05,5,NA,NA,NA,NA,NA,NA,NA
"RET11","sc2",0.05,5,645,636,9,645,130,NA,NA
"RET12","sc2",0.05,5,2872,2652,220,2872,182,NA,NA
"RET13","sc3",0.14,13,5690,5656,34,5678,326,12,NA
"RET14","sc1",0.02,NA,931397,841489,89908,931397,36872,NA,863
"RET15","sc1",0.02,3,NA,NA,NA,80000,40000,NA,813
"RET16","sc0",0.02,52,9689,9911,-222,9067,1125,622,964
"RET17","sc3",0.14,10,1520,1384,136,1500,195,20,733
"RET18","sc1",0.02,4,440,379,60,440,16,NA,296
"RET19","sc2",0.05,3,690,464507,225493,690,19000,NA,486
"RET20","sc3",0.14,8,1852,1812,40,1852,120,NA,1312
"RET21","sc0",0.02,2,368,339,29,359,NA,9,257
"RET22","sc0",0.02,3,839,717,122,839,2,NA,654
"RET23","sc1",0.02,2,471,411,60,471,34,NA,377
"RET24","sc1",0.02,4,935,814,121,933,31,2,811
"RET25","sc2",0.05,3,1665,186,1478,1665,70,NA,1472
"RET26","sc3",0.14,6,2318,390,86,2318,184,NA,2082
"RET27","sc2",0.05,2,1187,NA,17,1175,114,12,1058
"RET28","sc3",0.14,16,2953,2870,83,2946,245,7,2670
"RET29","sc0",0.02,1,492,470,22,492,NA,NA,449
"RET30","sc2",0.05,6,1831,1443,388,1831,53,1831,1695
"RET31","sc3",0.14,29,7301,7242,59,7271,451,30,6754
"RET32","sc2",0.05,8,107,95,100,971,28,NA,905
"RET33","sc3",0.14,13,4129,3601,528,4118,57,11,3841
"RET34","sc3",0.14,9,2803,2643,160,2803,106,NA,2668
"RET35","sc3",0.14,15,2909,2627,282,2876,539,33,2758
"RET36","sc3",0.14,14,2747,2725410,22457,2649,221302,98350,2548
"RET37","sc2",0.05,6,206,170,37,1024,64,4,995
"RET38","sc2",0.05,53,9842,10000,-160,9842,837,NA,9655
"RET39","sc2",0.05,7,2501,2347,154,2463,87,38,2441
"RET40","sc3",0.14,NA,4543,4266,277,4445,369,98,4412
"RET41","sc3",0.14,20,3295,3168,127,3284,181,11,3263
"RET42","sc2",0.05,2,814,175,NA,814,107,NA,810
"RET43","sc1",0.02,NA,1210,1124,86,1210,52,NA,1205
"RET44","sc0",0.02,1,343,NA,NA,343,NA,NA,343
"RET45","sc2",0.05,3,952,NA,149,952,79,NA,952
"RET46","sc0",0.02,1,41,32,9,41,NA,NA,41
"RET47","sc3",0.14,60,3633,3626,7,3633,257,NA,3634
"RET48","sc3",0.14,8,2906,453,53,2906,144,NA,2907
"RET49","sc3",0.14,10,2339,2353,-14,2333,193,6,2335
"RET50","sc3",0.14,12,2280,2302,-22,2275,222,5,2277
"RET51","sc2",0.05,7,1728,1681,47,1728,153,NA,1742
"RET52","sc3",0.14,24,6904,6729,174,6872,485,32,6959
"RET53","sc3",0.14,29,3647,3554,93,3571,311,76,3700
"RET54","sc3",0.14,11,1021,472,549,1021,235,NA,1067
"RET55","sc0",0.02,1,197,168,30,197,NA,NA,221
"RET56","sc2",0.05,7,917,781,136,917,30,NA,1030
"RET57","sc2",0.05,8,2000,1700,NA,2000,NA,NA,2271
"RET58","sc3",0.14,3,200,177,222,200,49,NA,251
"RET59","sc2",0.05,4,342,299,43,342,30,NA,1068
"RET60","sc2",0.05,6,1411,1215,196,1,179,NA,1389
